Latitude,Longitude,Crime Description,Count,Hour,Crime Frequency
33.7134,-118.2916,VEHICLE - STOLEN,2,23,2
33.7134,-118.2898,BURGLARY,1,13,1
33.7134,-118.2879,BATTERY - SIMPLE ASSAULT,2,0,1
33.7135,-118.3071,THEFT OF IDENTITY,2,0,1
33.7135,-118.307,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,16,1
33.7135,-118.3037,DOCUMENT FORGERY / STOLEN FELONY,1,9,1
33.7136,-118.3026,BURGLARY,1,20,1
33.7136,-118.2904,VEHICLE - STOLEN,15,21,13
33.7138,-118.3036,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,13,1
33.7139,-118.2991,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,10,1
33.714,-118.309,TRESPASSING,2,4,1
33.714,-118.3035,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),2,2,1
33.714,-118.3018,BURGLARY,1,12,1
33.714,-118.2843,BURGLARY,2,0,2
33.7141,-118.3089,DISCHARGE FIREARMS/SHOTS FIRED,1,2,1
33.7141,-118.2929,INTIMATE PARTNER - SIMPLE ASSAULT,1,1,1
33.7141,-118.2844,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2,3,1
33.7142,-118.3056,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,15,1
33.7142,-118.3055,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1,22,1
33.7142,-118.3017,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,17,1
33.7142,-118.2889,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2,16,2
33.7142,-118.2872,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,16,1
33.7142,-118.2862,THEFT OF IDENTITY,1,1,1
33.7142,-118.2844,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",4,14,2
33.7143,-118.3044,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,21,2
33.7143,-118.3001,BURGLARY FROM VEHICLE,1,20,1
33.7143,-118.2929,PICKPOCKET,1,8,1
33.7143,-118.2923,BATTERY - SIMPLE ASSAULT,1,16,2
33.7143,-118.2917,INTIMATE PARTNER - SIMPLE ASSAULT,1,0,1
33.7143,-118.2907,BURGLARY FROM VEHICLE,2,19,3
33.7143,-118.2898,BURGLARY,1,7,1
33.7143,-118.2889,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1,4,1
33.7144,-118.301,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,17,1
33.7144,-118.2997,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",7,17,9
33.7146,-118.3087,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,19,1
33.7146,-118.3065,VEHICLE - STOLEN,2,8,1
33.7147,-118.3105,DISCHARGE FIREARMS/SHOTS FIRED,1,18,1
33.7147,-118.2916,VIOLATION OF RESTRAINING ORDER,2,16,2
33.7149,-118.3019,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,1,1
33.715,-118.3052,BURGLARY,1,9,1
